WH Name,Variacion absoluta,inventario
NTW - WORCESTER MA,31162.29,6795427.04
"NTW - Halethorpe, MD",123611.24,10172225.08
NTW - Raleigh NC,24380.94,5366113.75
NTW - Florence SC,4273.89,4641371.22
"NTW - Gainesville, GA",12041.51,3411873.06
"NTW - Greer, SC",102203.23,6366721.76
"NTW - Grovetown, GA",9918.92,4494262.35
"NTW - Jacksonville, FL",58614.94,7971794.04
"NTW - Macon, GA",12443.72,3373646.74
"NTW - Orlando, FL",20121.16,5340036.76
"NTW - Richmond, VA",15389.44,6363222.10
"NTW - WPB, FL",88995.25,7517501.07
NTW - Roanoke VA,39096.37,5833528.95
"NTW - Tampa, FL",16460.60,7755095.47
NTW - Birmingham AL,244069.83,7551418.33
NTW - Greensboro NC,5723.40,5846676.83
"NTW - Norfolk, VA",54686.65,4900955.82
"NTW - FT MYERS, FL",19565.26,6669687.99
NTW - San Antonio TX,4797.35,4301594.10
"NTW - Auburn, ME",37167.53,7328638.90
NTW - Ocoee TN,8658.52,2841980.36
"NTW - Marietta, GA",48091.39,4707184.85
"NTW - Charleston, SC",9534.71,5467647.70
"NTW - Rochester, NY",503597.85,7339602.19
"NTW - Colonie, NY",17832.77,7594523.52
"NTW - Nashville, TN",4691.27,7148055.20
"NTW - Wichita, KS",1043.40,7373978.82
NTW - Santa Fe Springs CA,3528.43,5304613.17
NTW - Glendale IL,20839.30,6961358.70
"NTW - Lansdale, PA",46631.31,8095772.27
"NTW - Houston,TX",2350.79,5184535.14
NTW - Dallas TX,61267.67,15419316.50
"NTW - Lockbourne, OH",39237.11,7403960.75
NTW - Benicia CA,2948.72,16812237.28
NTW - Columbia MO,19829.82,2591421.23
"NTW - Redlands, CA",87746.12,23877817.38
"NTW - Fresno, CA",21771.09,4712249.61
"NTW - Tolleson, AZ",41248.50,17850718.70
NTW - Sacramento CA,479487.12,9851043.10
"NTW - York, PA",14519.65,3012657.61
NTW - Stow OH,66221.91,9293808.20
NTW - Bedford Park IL,1597.01,4935634.89
NTW - Dunmore PA,4645.04,4469090.97
"NTW - Miami, FL",4065.07,4501720.83
"NTW - New Albany, IN",6302.67,9487569.82
"NTW - Kansas City, MO",1918.46,2306140.04
NTW - DENVER CO,2576.37,15863783.93
NTW - ANCHORAGE,4788.88,2044228.40
NTW - COLORADO SPRINGS CO,8320.42,4773976.67
NTW - MESQUITE TX,12850.87,6596467.92
NTW - PROVIDENCE NEW BEDF,1811.61,4859155.97
NTW - DENVER CO,15559.94,7488862.79
NTW - JACKSON MS,5038.82,6191365.11
NTW - PITTSBURGH,482.93,5455393.32
NTW - SALT LAKE CITY UT,42412.51,15901956.59
NTW - TUCSON AZ,328.65,4854197.33
NTW - DES MOINES AMES,0.00,2695304.37
NTW - LEXINGTON,457.62,2765509.77
NTW - DETROIT,5191.64,6310165.31
NTW - LOUISVILLE KY,47847.33,6631741.61
NTW - ATLANTA,8040.44,8675114.86
NTW - HOUSTON TX,2791.94,9532825.68
NTW - HARTFORD & NEW HAVE,0.00,2586002.11
NTW - KAPOLEI HI,53007.50,3614191.44
NTW - OKLAHOMA CITY OK,11933.65,9565850.26
NTW - PORTLAND OR,0.00,4959681.63
NTW - SPOKANE WA,1173.53,3841012.88
NTW - MEMPHIS TN,4107.29,4040379.19
NTW - CINCINNATI OH,502.33,4050247.84
NTW - HOUSTON TX,6048.76,4567622.17
NTW - BOSTON (MANCHESTER),0.00,3324082.14
NTW - SAN ANTONIO TX,13313.74,4261330.29
NTW - OMAHA NE,113796.49,3876553.50
NTW - AUSTIN TX,5126.60,3980783.03
NTW - SEATTLE-TACOMA WA,0.00,2290040.22
NTW - GRAND RAPIDS KALMZO,3295.92,3760857.63
NTW - KNOXVILLE TN,2813.66,3801941.58
NTW - TOLEDO OH,5687.34,3602771.80
NTW - DALLAS FT WORTH TX,37913.45,6599839.16
NTW - CHARLESTON-HUNTINGT,231.25,2562714.00
NTW - INDIANAPOLIS IN,663.93,2789209.47
NTW - ATLANTA GA,495.45,2300442.15
NTW - BURLINGTON PLATTSBU,5260.67,7413938.95
NTW - TULSA OK,1965.44,3373664.56
NTW - CHICAGO IL,894.31,3464280.31
NTW - CHICAGO IL,0.00,4249421.34
NTW - ALBUQUERQUE SANTA F,0.00,1748103.73
NTW - TALLAHASSEE THOMASV,2993.89,2343969.88
NTW - CHAMPAIGN&SPRNGFLD-,1867.33,3055422.26
NTW - LITTLE ROCK PINE BL,1999.47,2961618.59
NTW - CHARLOTTE,221445.48,6281324.05
NTW - ST. LOUIS MO,6607.10,5886911.53
NTW - NEW YORK NJ,1052.93,4591693.61
NTW - NEW YORK NY,5457.04,3001685.24
NTW - BATON ROUGE LA,0.00,3871773.12
NTW - SPRINGFIELD MO,4055.44,9553457.76
NTW - SHREVEPORT LA,3768.75,2153784.69
NTW - LOS ANGELES CA,215.56,5495759.94
NTW - MIAMI-FT. LAUDERDAL,4803.95,3668689.58
NTW - MILWAUKEE WI,355.94,4010475.60
NTW - HARRISBURG-LNCSTR-L,31.76,3563032.82
NTW - MOBILE-PENSACOLA (F,298.02,3178103.16
NTW - SAN DIEGO CA,0.00,3636774.33
NTW - LAS VEGAS NV,396.36,3004631.16
NTW - KANSAS CITY MO,26981.13,10825904.79
NTW - MINNEAPOLIS-ST. PAU,2244.66,7756168.48
NTW - RALEIGH-DURHAM (FAY,864.51,3411017.41
NTW - MYRTLE BEACH-FLOREN,1841.86,2825429.66
NTW - COLUMBIA SC,8971.70,2903785.96
NTW - EL PASO (LAS CRUCES,980.43,2053301.13
NTW - SAN FRANCISCO-OAK-S,460.60,3614429.69
NTW - LUBBOCK TX,16547.03,6883044.41
NTW - SAN FRANCISCO-OAK-S,73.47,560876.71
NTW - WORCESTER MA,45801.35,6795427.04
"NTW - Halethorpe, MD",141088.80,10172225.08
NTW - Raleigh NC,28697.65,5366113.75
NTW - Florence SC,4273.89,4641371.22
"NTW - Gainesville, GA",13208.65,3411873.06
"NTW - Greer, SC",106702.04,6366721.76
"NTW - Grovetown, GA",10113.38,4494262.35
"NTW - Jacksonville, FL",76934.24,7971794.04
"NTW - Macon, GA",15616.30,3373646.74
"NTW - Orlando, FL",21881.59,5340036.76
"NTW - Richmond, VA",18258.40,6363222.10
"NTW - WPB, FL",100414.84,7517501.07
NTW - Roanoke VA,41708.37,5833528.95
"NTW - Tampa, FL",18757.46,7755095.47
NTW - Birmingham AL,288454.00,7551418.33
NTW - Greensboro NC,12744.28,5846676.83
"NTW - Norfolk, VA",64790.47,4900955.82
"NTW - FT MYERS, FL",22550.75,6669687.99
NTW - San Antonio TX,6724.90,4301594.10
"NTW - Auburn, ME",51034.67,7328638.90
NTW - Ocoee TN,16229.67,2841980.36
"NTW - Marietta, GA",54800.18,4707184.85
"NTW - Charleston, SC",12171.67,5467647.70
"NTW - Rochester, NY",515277.72,7339602.19
"NTW - Colonie, NY",19907.01,7594523.52
"NTW - Nashville, TN",5749.11,7148055.20
"NTW - Wichita, KS",1134.19,7373978.82
NTW - Santa Fe Springs CA,4135.65,5304613.17
NTW - Glendale IL,35829.38,6961358.70
"NTW - Lansdale, PA",56124.40,8095772.27
"NTW - Houston,TX",9685.92,5184535.14
NTW - Dallas TX,68163.80,15419316.50
"NTW - Lockbourne, OH",47731.94,7403960.75
NTW - Benicia CA,2977.62,16812237.28
NTW - Columbia MO,21250.68,2591421.23
"NTW - Redlands, CA",95420.64,23877817.38
"NTW - Fresno, CA",25065.10,4712249.61
"NTW - Tolleson, AZ",96811.58,17850718.70
NTW - Sacramento CA,520505.86,9851043.10
"NTW - York, PA",23987.78,3012657.61
NTW - Stow OH,82642.18,9293808.20
NTW - Bedford Park IL,1948.35,4935634.89
NTW - Dunmore PA,4907.94,4469090.97
"NTW - Miami, FL",10556.14,4501720.83
"NTW - New Albany, IN",19033.38,9487569.82
"NTW - Kansas City, MO",2857.65,2306140.04
NTW - DENVER CO,9089.06,15863783.93
NTW - ANCHORAGE,5910.55,2044228.40
NTW - COLORADO SPRINGS CO,9571.10,4773976.67
NTW - MESQUITE TX,55713.60,6596467.92
NTW - PROVIDENCE NEW BEDF,1866.30,4859155.97
NTW - DENVER CO,21389.13,7488862.79
NTW - JACKSON MS,5038.82,6191365.11
NTW - PITTSBURGH,527.28,5455393.32
NTW - SALT LAKE CITY UT,93546.96,15901956.59
NTW - TUCSON AZ,328.65,4854197.33
NTW - DES MOINES AMES,0.00,2695304.37
NTW - LEXINGTON,457.62,2765509.77
NTW - DETROIT,5425.81,6310165.31
NTW - LOUISVILLE KY,58435.15,6631741.61
NTW - ATLANTA,9221.54,8675114.86
NTW - HOUSTON TX,4185.29,9532825.68
NTW - HARTFORD & NEW HAVE,0.00,2586002.11
NTW - KAPOLEI HI,67346.81,3614191.44
NTW - OKLAHOMA CITY OK,12106.57,9565850.26
NTW - PORTLAND OR,0.00,4959681.63
NTW - SPOKANE WA,2415.05,3841012.88
NTW - MEMPHIS TN,4613.37,4040379.19
NTW - CINCINNATI OH,502.33,4050247.84
NTW - HOUSTON TX,7391.78,4567622.17
NTW - BOSTON (MANCHESTER),0.00,3324082.14
NTW - SAN ANTONIO TX,19207.78,4261330.29
NTW - OMAHA NE,136667.54,3876553.50
NTW - AUSTIN TX,9923.23,3980783.03
NTW - SEATTLE-TACOMA WA,0.00,2290040.22
NTW - GRAND RAPIDS KALMZO,4894.98,3760857.63
NTW - KNOXVILLE TN,4570.02,3801941.58
NTW - TOLEDO OH,6607.86,3602771.80
NTW - DALLAS FT WORTH TX,43100.97,6599839.16
NTW - CHARLESTON-HUNTINGT,482.97,2562714.00
NTW - INDIANAPOLIS IN,663.93,2789209.47
NTW - ATLANTA GA,495.45,2300442.15
NTW - BURLINGTON PLATTSBU,6096.92,7413938.95
NTW - TULSA OK,1965.44,3373664.56
NTW - CHICAGO IL,1109.06,3464280.31
NTW - CHICAGO IL,0.00,4249421.34
NTW - ALBUQUERQUE SANTA F,816.10,1748103.73
NTW - TALLAHASSEE THOMASV,4503.65,2343969.88
NTW - CHAMPAIGN&SPRNGFLD-,478.83,3055422.26
NTW - LITTLE ROCK PINE BL,1999.47,2961618.59
NTW - CHARLOTTE,236188.34,6281324.05
NTW - ST. LOUIS MO,7023.45,5886911.53
NTW - NEW YORK NJ,1052.93,4591693.61
NTW - NEW YORK NY,6656.33,3001685.24
NTW - BATON ROUGE LA,3251.10,3871773.12
NTW - SPRINGFIELD MO,5250.59,9553457.76
NTW - SHREVEPORT LA,4748.85,2153784.69
NTW - LOS ANGELES CA,553.58,5495759.94
NTW - MIAMI-FT. LAUDERDAL,5624.38,3668689.58
NTW - MILWAUKEE WI,604.09,4010475.60
NTW - HARRISBURG-LNCSTR-L,242.50,3563032.82
NTW - MOBILE-PENSACOLA (F,298.02,3178103.16
NTW - SAN DIEGO CA,0.00,3636774.33
NTW - LAS VEGAS NV,396.36,3004631.16
NTW - KANSAS CITY MO,39658.04,10825904.79
NTW - MINNEAPOLIS-ST. PAU,3564.00,7756168.48
NTW - RALEIGH-DURHAM (FAY,864.51,3411017.41
NTW - MYRTLE BEACH-FLOREN,1841.86,2825429.66
NTW - COLUMBIA SC,8971.70,2903785.96
NTW - EL PASO (LAS CRUCES,980.43,2053301.13
NTW - SAN FRANCISCO-OAK-S,7892.56,3614429.69
NTW - LUBBOCK TX,16547.03,6883044.41
NTW - SAN FRANCISCO-OAK-S,73.47,560876.71
NTW - WORCESTER MA,6420.81,5943330.81
"NTW - Halethorpe, MD",-61927.04,8481260.49
NTW - Raleigh NC,-7611.97,4709766.74
"NTW - Dothan, AL",-1444.32,4407040.93
NTW - Florence SC,-7951.26,4091488.31
